ibbid,subid,bidsid,randval,date,comment,,,,,,,,,,,,,,,,,,
A3122,C01,C01,A1,2023-04-25,⭐️,,,,,,,,,,,,,,,,,,
A3127,C02,C02,B1,2023-04-26,⭐️,,,,,,,,,,,,,,,,,,
A3129,C03,C03,B3,2023-04-27,!! INVERTED GS TRIGGERS,,,,,,,,,,,,,,,,,,
A3131,C04,C04,B4,2023-04-28,!! INVERTED GS TRIGGERS,,,,,,,,,,,,,,,,,,
A3132,C05,C05,B2,2023-04-28,⭐️,,,,,,,,,,,,,,,,,,
A2996,C51,C06,A2,2023-05-03,E.B+ H.M.,,,,,,,,,,,,,,,,,,
A3135,C06,C07,A2,2023-05-08,E.B,,,,,,,,,,,,,,,,,,
A2792,C07,C08,A3,2023-05-09,BASE VIDEO: CHECK EYELINK + H.M.,,,,,,,,,,,,,,,,,,
A3137,C08,C09,A4,2023-05-09,⭐️,,,,,,,,,,,,,,,,,,
A2696,C52,C10,B2,2023-05-10,⭐️,,,,,,,,,,,,,,,,,,
A3139,C53,C11,A3,2023-05-10,TEST-AUDIO:362S STOP RECORDING,,,,,,,,,,,,,,,,,,
A3108,C09,C12,A1,2023-05-10,BASE-VIDEO HM; BASE-AUDIO EB,,,,,,,,,,,,,,,,,,
A3142,C10,C13,B2,2023-05-12,⭐️,,,,,,,,,,,,,,,,,,
A3011,C11,C14,A3,2023-05-15,⭐️,,,,,,,,,,,,,,,,,,
A3145,C54,C15,B4,2023-05-16,⭐️,,,,,,,,,,,,,,,,,,
A3150,C12,C16,B4,2023-05-17,BaseVideo EB + Movement,,,,,,,,,,,,,,,,,,
A3151,C13,C17,B1,2023-05-19,,,,,,,,,,,,,,,,,,,
A3152,C14,C18,A2,2023-05-19,,,,,,,,,,,,,,,,,,,
A2924,C55,C19,B1,2023-05-23,,,,,,,,,,,,,,,,,,,
A3050,C56,C20,A1,2023-05-25,,,,,,,,,,,,,,,,,,,
A3166,C57,C21,B3,2023-06-14,BaseVideo Magnetic Artifacts from Shoes,,,,,,,,,,,,,,,,,,
A2976,C15,C22,B3,2023-06-28,⭐️,,,,,,,,,,,,,,,,,,
A3186,C16,C23,A4,2023-07-03,,,,,,,,,,,,,,,,,,,
A3192,C58,C24,A4,2023-07-18,#MERGE 04 BaseVisual; 05-06-07 CondVisual; 08 TestVisual,,,,,,,,,,,,,,,,,,
A3197,C17,C25,A1,2023-07-25,#MERGE 04-05-06 BaseVisual; 07 CondVisual; 08 TestVisual,,,,,,,,,,,,,,,,,,
A3201,C59,C26,A1,2023-08-17,#MERGE 01-02 BaseAudio;,,,,,,,,,,,,,,,,,,
A2527,C18,C27,B2,2023-08-22,#MERGE 01-02 BaseVisual;,,,,,,,,,,,,,,,,,,
A3208,C19,C28,A3,2023-08-24,,,,,,,,,,,,,,,,,,,
A3209,C60,C29,B4,2023-08-25,Eyelink Noise (Contact Lenses); difficult subject,,,,,,,,,,,,,,,,,,
A3216,C20,C30,B4,2023-09-08,,,,,,,,,,,,,,,,,,,
A3130,C21,C31,B1,2023-09-13,#MERGE 01-02 BaseVisual; 03 CondVisual; 04 TestVisual; 05-06-07 BaseAudio; 08-09 CondAudio; 10-11 TestAudio,,,,,,,,,,,,,,,,,,
A3227,C22,C32,A2,2023-09-18,"Correct Questionnaires, 22 instead of 32 in SUBID; #MERGE 04-05 BaseVisual",,,,,,,,,,,,,,,,,,
A3235,C23,C33,B3,2023-09-28,#MERGE 02-03 CondVisual,,,,,,,,,,,,,,,,,,
A3067,C61,C34,A3,2023-02-21,⭐️⭐️⭐️,,,,,,,,,,,,,,,,,,
A2214,C62,C35,B2,2024-02-21,⭐️,,,,,,,,,,,,,,,,,,
A3104,C63,C36,B1,2024-02-27,⭐️,,,,,,,,,,,,,,,,,,
A2521,C65,C37,A2,2024-03-04,,,,,,,,,,,,,,,,,,,
A3260,C64,C38,B3,2024-03-20,---,,,,,,,,,,,,,,,,,,
A3048,C66,C39,A4,2024-03-20,,,,,,,,,,,,,,,,,,,
A3066,C67,C40,A1,2024-03-25,,,,,,,,,,,,,,,,,,,
A3287,C68,C41,B2,2024-04-09,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
